place_id,name,link,main_category,categories,rating,reviews,address,website,open_hours,is_spending_on_ads,last_updated,"latitude, longitude",neighborhood,average_atmosphere_score,average_food_score,average_service_score,average_price,Recommended dishes,Service options,Offerings,Dining options,Atmosphere,Crowd,Children,Accessibility,Amenities,Payments,Parking,Planning,Activities,Pets,Getting here,Highlights,From the business,Recycling,Popular for,average_review_date,days_since_average_review_date,success_score
ChIJpaXv6kIb2jERaR2t1KW20sk,Lazy Lizard - NEWest,https://www.google.com/maps/place/Lazy+Lizard+-+NEWest/data=!4m7!3m6!1s0x31da1b42eaefa5a5:0xc9d2b6a5d4ad1d69!8m2!3d1.3164178!4d103.7577178!16s%2Fg%2F11ghzkwbl1!19sChIJpaXv6kIb2jERaR2t1KW20sk?authuser=0&hl=en&rclk=1,Restaurant,"['Restaurant', 'Bar']",4.7,791.0,"1 West Coast Drive #01-85 & #01-86, Lazy Lizard - NEWest, NEWest, 128020",https://lazylizard.com.sg/,"{'Thursday': [12, 0, 22, 30], 'Friday': [12, 0, 0, 0], 'Saturday': [11, 0, 0, 0], 'Sunday': [11, 0, 22, 30], 'Monday': [12, 0, 22, 30], 'Tuesday': [12, 0, 22, 30], 'Wednesday': [12, 0, 22, 30]}",False,1747890937,"(1.3164178, 103.7577178)",Clementi,4.655172413793103,4.609195402298851,4.709302325581396,33.01587301587302,"Rack of Pork, Har Cheong Chicken Burger, Mains, Rack of Pork, Fish and Chips, Mains, Rack of Pork, Sausage Pizza, Fish and Chips, Pasta Carbonara, Soup, Wings, Pasta Carbonara, Carbonara, Pesto Shrimp Pizza, Carbonara Pasta, Mains, Fish and Chips, Carbonara Pasta, Mains, Har Cheong Chicken Burger, Har Cheong Chicken Burger, 2 Pints of Hoegaarden for 25, Pesto Shrimp Pizza, Pesto, Pesto, Mains, Beck's, Carbonara Pasta, Soup, Fish and Chips, Fish and Chips, Crabby Pesto, Soup, Sausage Pizza, Pasta Carbonara, Carbonara, Mains, Lazy Lizards Sirloin, Wings, Fish and Chips, Spicy Mussels, 2 Pints of Hoegaarden for 25, Mains, Mains, Carbonara, Carbonara Pasta, Fish and Chips, Meat Platter, Har Cheong Chicken Burger, Loop Fries, Lazy Lizard Big Breakfast, Fish and Chips, Wings","Outdoor seating, No-contact delivery, Delivery, Takeaway, Dine-in","Alcohol, Beer, Cocktails, Coffee, Halal food, Happy-hour drinks, Late-night food, Organic dishes, Salad bar, Small plates, Spirits, Vegetarian options, Wine","Breakfast, Brunch, Lunch, Dinner, Dessert, Seating","Casual, Cosy","Family friendly, Groups, LGBTQ+ friendly, Transgender safe space","Good for kids, High chairs, Kids' menu","Wheelchair-accessible car park, Wheelchair-accessible entrance, Wheelchair-accessible seating","Bar on site, Toilets","Credit cards, Debit cards, NFC mobile payments, Credit cards","Paid parking lot, Plenty of parking","Reservations required, Accepts reservations",,"Dogs allowed, Dogs allowed outside",,"Great cocktails, Sport",,,,2024-05-05 22:02:10.909090816,444.0,85.15
ChIJO2p_TiIa2jERYTSzmsYImjw,Open Farm Community,https://www.google.com/maps/place/Open+Farm+Community/data=!4m7!3m6!1s0x31da1a224e7f6a3b:0x3c9a08c69ab33461!8m2!3d1.3058298!4d103.8155908!16s%2Fg%2F11btysvr89!19sChIJO2p_TiIa2jERYTSzmsYImjw?authuser=0&hl=en&rclk=1,Restaurant,"['Restaurant', 'Brunch restaurant', 'Cafe', 'Event venue', 'Farm shop', 'Lunch restaurant', 'Delivery Restaurant', 'Takeaways', 'Wedding venue', 'Wine bar']",4.2,2158.0,"130E Minden Rd, Open Farm Community, Singapore 248819",http://www.openfarmcommunity.com/,"{'Thursday': [12, 0, 15, 0], 'Friday': [12, 0, 15, 0], 'Saturday': [11, 0, 15, 30], 'Sunday': [11, 0, 15, 30], 'Monday': [12, 0, 15, 0], 'Tuesday': [12, 0, 15, 0], 'Wednesday': [12, 0, 15, 0]}",False,1747890938,"(1.3058298, 103.8155908)",Tanglin,4.516129032258065,4.387096774193548,4.376344086021505,68.75,"Tiberias Golden Snapper Ceviche, Cauliflower Wings, Cauliflower Wings, Sweet Corn Chumichuri, Smoked Salmon Open Face, Tiberias Barramundi, Cauliflower Wings, Sweet Potato Tortellini, Coconut Sugar Panna Cotta Pineapple Confiture Lychee Piña Colada Granite, Brunch 'Carbonara, Pili Nut Tart Kombu Short Crust Sesame Whip, Cauliflower Wings, Cauliflower Wings, Brunch 'Carbonara, Pili Nut Tart Kombu Short Crust Sesame Whip, Coconut Sugar Panna Cotta Pineapple Confiture Lychee Piña Colada Granite","Outdoor seating, Delivery, On-site services, Takeaway, Dine-in","Alcohol, Beer, Cocktails, Coffee, Organic dishes, Small plates, Spirits, Vegan options, Vegetarian options, Wine","Breakfast, Brunch, Lunch, Dinner, Dessert, Seating","Casual, Cosy","Family friendly, Groups","Good for kids, High chairs, Kids' menu","Wheelchair-accessible car park, Wheelchair-accessible entrance, Wheelchair-accessible seating, Wheelchair-accessible toilet","Bar on site, Toilets, Wi-Fi, Free Wi-Fi","Credit cards, Debit cards, NFC mobile payments, Credit cards","Free parking lot, Plenty of parking",Accepts reservations,,Dogs allowed,,Great cocktails,,,,2024-07-29 03:55:38.181818112,359.0,83.51
ChIJwW2HxhIZ2jERPfuslwkUPNg,Hopscotch (Gillman Barracks),https://www.google.com/maps/place/Hopscotch+%28Gillman+Barracks%29/data=!4m7!3m6!1s0x31da1912c6876dc1:0xd83c140997acfb3d!8m2!3d1.2746282!4d103.8039026!16s%2Fg%2F11b6bt997y!19sChIJwW2HxhIZ2jERPfuslwkUPNg?authuser=0&hl=en&rclk=1,Restaurant,"['Restaurant', 'Grill', 'Bar & grill', 'Cocktail bar']",4.6,2166.0,"45 Malan Rd, Hopscotch (Gillman Barracks), Singapore 109455",https://www.hopscotch.sg/,"{'Thursday': [12, 0, 14, 30], 'Friday': [12, 0, 14, 30], 'Saturday': [12, 0, 14, 30], 'Sunday': [12, 0, 14, 30], 'Monday': [12, 0, 14, 30], 'Tuesday': [12, 0, 14, 30], 'Wednesday': [12, 0, 14, 30]}",False,1747898606,"(1.2746282, 103.8039026)",Bukit Merah,4.631578947368421,4.16,4.426666666666667,48.72093023255814,"Mid Autumn Delight, XO Sticky Back Ribs, Truffle Fries with Cheese, Fish and Chips, Lobster Bisque, Hops Wagyu Burger, XO Sticky Back Ribs, Onion Rings, Roast Duck Pizza, XO Sticky Back Ribs, Chicken Karaage, Garlic Brussel Sprouts, Buttermilk Cereal Prawn Burger, XO Sticky Back Ribs, XO Sticky Back Ribs, Mid Autumn Delight, Chilli Crab Pizza, Fish and Chips, Truffle Mushroom Soup, XO Sticky Back Ribs, Truffle Mushroom Soup, Signature Fried Chicken, Roast Duck Pizza, Truffle Mushroom Soup","Outdoor seating, Kerbside pickup, No-contact delivery, Delivery, Takeaway, Dine-in","Alcohol, Beer, Cocktails, Coffee, Happy-hour drinks, Late-night food, Small plates, Spirits, Vegan options, Vegetarian options, Wine","Lunch, Dinner, Dessert, Seating","Casual, Cosy","Family friendly, Groups, LGBTQ+ friendly",High chairs,"Wheelchair-accessible car park, Wheelchair-accessible entrance, Wheelchair-accessible seating","Bar on site, Gender-neutral toilets, Toilets, Wi-Fi, Free Wi-Fi","Credit cards, Debit cards, NFC mobile payments, Credit cards","Free parking lot, Paid parking lot, Paid street parking, Plenty of parking",Accepts reservations,,Dogs allowed,,"Great cocktails, Live music",,,,2024-03-19 12:26:10.909090816,491.0,86.97
ChIJR7uT4K8X2jERl5TKyLx7L0E,Grapevine Cafe Bar & Restaurant,https://www.google.com/maps/place/Grapevine+Cafe+Bar+%26+Restaurant/data=!4m7!3m6!1s0x31da17afe093bb47:0x412f7bbcc8ca9497!8m2!3d1.355462!4d103.8793532!16s%2Fg%2F1tj7133g!19sChIJR7uT4K8X2jERl5TKyLx7L0E?authuser=0&hl=en&rclk=1,Restaurant,"['Restaurant', 'Bar', 'Bistro', 'Cafe']",4.1,299.0,"Upper Serangoon Rd, #787 Grapevine Cafe Bar & Restaurant, Singapore 534655",https://www.facebook.com/grapevine787/,"{'Thursday': [16, 0, 0, 0], 'Friday': [16, 0, 0, 0], 'Saturday': [16, 0, 0, 0], 'Sunday': [16, 0, 0, 0], 'Monday': [16, 0, 0, 0], 'Tuesday': [16, 0, 0, 0], 'Wednesday': [16, 0, 0, 0]}",False,1747893361,"(1.355462, 103.8793532)",Hougang,4.296296296296297,4.2592592592592595,4.296296296296297,50.294117647058826,"Truffle Fries, Fried Chicken Skin, Beer Battered Cod Fish & Chips, Truffle Fries, Fried Chicken Skin, Bangers & Mash, Sambal Sotong, Truffle Fries, Truffle Fries, Fried Chicken Skin, Beer Battered Cod Fish & Chips, Truffle Fries, Fried Chicken Skin, Bangers & Mash, Sambal Sotong, Truffle Fries","Outdoor seating, No-contact delivery, Delivery, Takeaway, Dine-in","Alcohol, Beer, Cocktails, Coffee, Happy-hour drinks, Late-night food, Small plates, Spirits, Wine","Lunch, Dinner, Dessert, Seating","Casual, Cosy",Groups,High chairs,"Wheelchair-accessible car park, Wheelchair-accessible toilet","Bar on site, Toilets","Credit cards, Debit cards, NFC mobile payments, Credit cards",,Accepts reservations,,Dogs allowed,,"Great cocktails, Sport",,,,2021-05-29 21:36:00.000000000,1516.0,71.78
ChIJy-OrtEEX2jER3ldP20jfM4U,The Carpenters Bar,https://www.google.com/maps/place/The+Carpenters+Bar/data=!4m7!3m6!1s0x31da1741b4abe3cb:0x8533df48db4f57de!8m2!3d1.4612794!4d103.808044!16s%2Fg%2F11fhv21dsd!19sChIJy-OrtEEX2jER3ldP20jfM4U?authuser=0&hl=en&rclk=1,Bistro,['Bistro'],4.5,1070.0,"28 Woodlands Sector 2, The Carpenters Bar, Inside Woodlands Connection Building, Singapore 737686",http://www.thecarpentersbar.com.sg/,"{'Thursday': [12, 0, 0, 0], 'Friday': [12, 0, 0, 0], 'Saturday': [12, 0, 0, 0], 'Monday': [12, 0, 22, 30], 'Tuesday': [12, 0, 22, 30], 'Wednesday': [12, 0, 22, 30]}",False,1747896981,"(1.4612794, 103.808044)",Sembawang,4.575757575757576,4.378787878787879,4.696969696969697,47.903225806451616,"Thin Crust Pizza, Western, Beer Bucket, Thin Crust Pizza, Fries, Burger, Fries, Charcoal Beef Burger, Burger, Charcoal Beef Burger, Okinawa Pizza Supreme Pizza, Pizzas, Carlsberg Tower, Tapas, Okinawa Pizza Supreme Pizza, Fries, Western, Okinawa Pizza Supreme Pizza, Burger, Chicken and Mushroom Baked Rice, Fish & Chips, Burger, Fries, Tapas, Beer Bucket, Fish & Chips, Burger, Fries, Beer Bucket, Mookata, Japanese Yakitori Platter, Western, Fish & Chips, Spaghetti Aglio E Olio, Burger, Charcoal Beef Burger, Chicken and Mushroom Baked Rice, Carlsberg Tower, Western, Pizza Waikiki, Pork Cutlet, Okinawa Pizza Supreme Pizza, Pizza Waikiki, Thin Crust Pizza, Fries, Okinawa Pizza Supreme Pizza, Carlsberg Tower, 1664 Blanc Tower, Cutlet, Fish & Chips, Carlsberg Tower, Fish & Chips, Burger, Thin Crust Pizza, Fries, Mookata, Beer Bucket","Outdoor seating, Takeaway, Dine-in","Alcohol, Beer, Cocktails, Coffee, Happy-hour drinks, Late-night food, Small plates, Spirits, Wine","Lunch, Dinner, Dessert, Seating","Casual, Cosy","Family friendly, Groups, LGBTQ+ friendly","Good for kids, High chairs, Kids' menu","Wheelchair-accessible car park, Wheelchair-accessible entrance, Wheelchair-accessible seating","Bar on site, Toilets","Cheques, Credit cards, Debit cards, NFC mobile payments, Credit cards","Free parking lot, Plenty of parking",Accepts reservations,,Dogs allowed,,Great cocktails,,,,2024-02-12 13:40:48.000000000,527.0,83.71
ChIJl0gztCwU2jEREJMD-bby0iI,YOUNGS Restaurant & Bar,https://www.google.com/maps/place/YOUNGS+Restaurant+%26+Bar/data=!4m7!3m6!1s0x31da142cb4334897:0x22d2f2b6f9039310!8m2!3d1.4070942!4d103.8675995!16s%2Fg%2F11cs4m0c08!19sChIJl0gztCwU2jEREJMD-bby0iI?authuser=0&hl=en&rclk=1,Restaurant,"['Restaurant', 'Bar']",4.2,2374.0,"3 Hyde Park Gate, YOUNGS Restaurant & Bar, Seletar Aerospace Park, Singapore 799531",https://www.youngs.com.sg/,"{'Thursday': [11, 30, 23, 0], 'Friday': [11, 30, 0, 0], 'Saturday': [10, 0, 0, 0], 'Sunday': [10, 0, 23, 0], 'Monday': [11, 30, 23, 0], 'Tuesday': [11, 30, 23, 0], 'Wednesday': [11, 30, 23, 0]}",False,1747896990,"(1.4070942, 103.8675995)",Seletar,4.054794520547945,3.75,4.041095890410959,41.42857142857143,"Chill Out, Nacho Chips, Molten Chocolate Lava Cake, Flank Steak, Nachos, Truffle Fries with Cheese Plate, Fresh Oysters, Mussels Pot, Chill Out, Soup of the Day, Fresh Oysters, Rosti, Sharing Platter, Mussels Marinara, Rosti, Fresh Oysters, Mussels Pot, Fresh Oysters, Sharing Platter, Mussels Pot, Spicy Pulled Pork Pizza, Spicy Pulled Pork Pizza, Sharing Platter, Spicy Pulled Pork Pizza, Chill Out, Mussels Marinara, Chill Out, Nacho Chips, Molten Chocolate Lava Cake, Flank Steak, Nachos, Truffle Fries with Cheese Plate, Fresh Oysters, Mussels Pot, Chill Out, Soup of the Day, Fresh Oysters, Rosti, Sharing Platter, Mussels Marinara, Rosti, Fresh Oysters, Mussels Pot, Fresh Oysters, Sharing Platter, Mussels Pot, Spicy Pulled Pork Pizza, Spicy Pulled Pork Pizza, Sharing Platter, Spicy Pulled Pork Pizza, Chill Out, Mussels Marinara","Outdoor seating, No-contact delivery, Delivery, Takeaway, Dine-in","Alcohol, Beer, Cocktails, Coffee, Happy-hour drinks, Happy-hour food, Late-night food, Private dining room, Small plates, Spirits, Vegetarian options, Wine","Breakfast, Brunch, Lunch, Dinner, Dessert, Seating","Casual, Cosy","Family friendly, Groups, LGBTQ+ friendly","Good for kids, High chairs, Kids' menu","Wheelchair-accessible car park, Wheelchair-accessible entrance, Wheelchair-accessible seating, Wheelchair-accessible toilet","Bar on site, Toilets","Credit cards, Debit cards, NFC mobile payments, Credit cards","Paid parking lot, Paid street parking, Plenty of parking","Reservations required, Accepts reservations",,"Dogs allowed, Dogs allowed outside",,Live music,,,,2024-04-16 10:48:00.000000000,463.0,83.36
ChIJM1FBC0MZ2jER8CHuM5VsGIE,OMD Café & Bar,https://www.google.com/maps/place/OMD+Caf%C3%A9+%26+Bar/data=!4m7!3m6!1s0x31da19430b415133:0x81186c9533ee21f0!8m2!3d1.3040086!4d103.9023912!16s%2Fg%2F11twtstct1!19sChIJM1FBC0MZ2jER8CHuM5VsGIE?authuser=0&hl=en&rclk=1,Cafe,"['Cafe', 'Animal cafe', 'Bar', 'Dog cafe', 'Pub']",4.7,221.0,"12 E Coast Rd, OMD Café & Bar, Singapore 428723",,"{'Thursday': [8, 0, 22, 0], 'Friday': [8, 0, 22, 0], 'Saturday': [8, 0, 22, 0], 'Sunday': [8, 0, 22, 0], 'Monday': [8, 0, 22, 0], 'Tuesday': [8, 0, 22, 0]}",False,1747903485,"(1.3040086, 103.9023912)",Marine Parade,4.752688172043011,4.559139784946237,4.731182795698925,35.58196721311475,"Mac N Cheese, Seafood Pasta, Baked Salmon Steak, Calamari, Chicken Chop, Burger and Fries, Burger and Fries, Seafood Pasta, Chicken Chop, Chicken Chop, Seafood Pasta, Mac & Cheese, Burger and Fries, Baked Salmon Steak, Mac & Cheese, Chicken Chop, Baked Salmon Steak, Carbonara, Chicken Wings, OMD Baked Brie Cheese, Burger and Fries, Chicken Chop, Pork and Chicken Satay, Burger and Fries, Chicken Chop, Pork and Chicken Satay, Burger and Fries, Chicken Wings, Calamari, Burger and Fries, Pork and Chicken Satay","Outdoor seating, Kerbside pickup, Delivery, Takeaway, Dine-in","Alcohol, Beer, Cocktails, Coffee, Happy-hour drinks, Late-night food, Small plates, Spirits, Vegetarian options, Wine","Breakfast, Brunch, Lunch, Dinner, Dessert, Seating","Casual, Cosy","Family friendly, Groups, LGBTQ+ friendly","Good for kids, High chairs, Kids' menu","Wheelchair-accessible car park, Wheelchair-accessible seating","Bar on site, Gender-neutral toilets, Toilets, Wi-Fi, Free Wi-Fi","Credit cards, Debit cards, NFC mobile payments, Credit cards","Free of charge street parking, Paid parking lot, Paid street parking, Plenty of parking",Accepts reservations,,Dogs allowed,,"Live performances, Sport",Identifies as women-owned,,,2024-08-24 12:43:12.000000000,333.0,81.8
